russian_title,english_title,rating,vote_count,genre,director,is_film,start_year,end_year,duration_minutes,country,actors
1+1,Intouchables,8.9,2791000.0,драма,Оливье Накаш,True,2011.0,,112.0,Франция,Франсуа Клюзе|Омар Си
Джентльмены,The Gentlemen,8.7,2473000.0,криминал,Гай Ричи,True,2019.0,,113.0,США,Мэттью Макконахи|Чарли Ханнэм
Гнев человеческий,Wrath of Man,7.7,1751000.0,боевик,Гай Ричи,True,2021.0,,119.0,Великобритания,Джейсон Стэйтем|Холт Маккэллани
Волк с Уолл-стрит,The Wolf of Wall Street,8.1,1716000.0,драма,Мартин Скорсезе,True,2013.0,,180.0,США,Леонардо ДиКаприо|Джона Хилл
Игра престолов,Game of Thrones,9.0,1497000.0,фэнтези,Дэвид Наттер,False,2011.0,2011.0,,США,Питер Динклэйдж|Лина Хиди
Достать ножи,Knives Out,8.2,1448000.0,детектив,Райан Джонсон,True,2019.0,,130.0,США,Дэниэл Крэйг|Ана де Армас
Зеленая книга,Green Book,8.5,1418000.0,биография,Питер Фаррелли,True,2018.0,,130.0,США,Вигго Мортенсен|Махершала Али
Остров проклятых,Shutter Island,8.6,1358000.0,триллер,Мартин Скорсезе,True,2009.0,,138.0,США,Леонардо ДиКаприо|Марк Руффало
Один дома,Home Alone,8.3,1278000.0,комедия,Крис Коламбус,True,1990.0,,103.0,США,Маколей Калкин|Джо Пеши
Бойцовский клуб,Fight Club,8.7,1233000.0,триллер,Дэвид Финчер,True,1999.0,,139.0,США,Эдвард Нортон|Брэд Питт
Переводчик,The Covenant,7.9,1200000.0,боевик,Гай Ричи,True,2022.0,,123.0,Великобритания,Джейк Джилленхол|Дар Салим
Анора,Anora,6.4,1198000.0,драма,Шон Бэйкер,True,2024.0,,139.0,США,Майки Мэдисон|Марк Эйдельштейн
Легенда,Legend,7.3,1193000.0,криминал,Брайан Хелгеленд,True,2015.0,,131.0,Великобритания,Том Харди|Эмили Браунинг
Аватар,Avatar,8.0,1190000.0,фантастика,Джеймс Кэмерон,True,2009.0,,162.0,США,Сэм Уортингтон|Зои Салдана
Интерстеллар,Interstellar,8.7,1139000.0,фантастика,Кристофер Нолан,True,2014.0,,169.0,США,Мэттью Макконахи|Энн Хэтэуэй
Побег из Шоушенка,The Shawshank Redemption,9.1,1122000.0,драма,Фрэнк Дарабонт,True,1994.0,,142.0,США,Тим Роббинс|Морган Фриман
Пчеловод,The Beekeeper,7.2,1117000.0,боевик,Дэвид Эйр,True,2024.0,,105.0,Великобритания,Джейсон Стэйтем|Эмми Рейвер-Лэмпман
Зверополис,Zootopia,8.3,1105000.0,мультфильм,Байрон Ховард,True,2016.0,,108.0,США,Джиннифер Гудвин|Джейсон Бейтман
Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,8.3,1103000.0,фэнтези,Крис Коламбус,True,2001.0,,152.0,Великобритания,Дэниэл Рэдклифф|Руперт Гринт
Начало,Inception,8.7,1097000.0,фантастика,Кристофер Нолан,True,2010.0,,148.0,США,Леонардо ДиКаприо|Джозеф Гордон-Левитт
Зеленая миля,The Green Mile,9.1,1077000.0,драма,Фрэнк Дарабонт,True,1999.0,,189.0,США,Том Хэнкс|Дэвид Морс
Области тьмы,Limitless,8.0,1046000.0,триллер,Нил Бёргер,True,2011.0,,105.0,США,Брэдли Купер|Роберт Де Ниро
Постучись в мою дверь,Sen Çal Kapımı,8.1,1044000.0,мелодрама,Алтан Дёнмез,False,2020.0,2020.0,,Турция,Ханде Эрчел|Керем Бюрсин
